Year,SS_No,STD_Obs,Obs,Marker
1701,8,-1,-1,1
1702,18,-1,-1,1
1703,27,-1,-1,1
1704,38,-1,-1,1
1705,60,-1,-1,1
1706,97,-1,-1,1
1707,48,-1,-1,1
1708,33,-1,-1,1
1709,17,-1,-1,1
1710,13,-1,-1,1
1711,5,-1,-1,1
1712,0,-1,-1,1
1713,0,-1,-1,1
1714,3,-1,-1,1
1715,18,-1,-1,1
1716,45,-1,-1,1
1717,78,-1,-1,1
1718,105,-1,-1,1
1719,100,-1,-1,1
1720,65,-1,-1,1
1721,47,-1,-1,1
1722,43,-1,-1,1
1723,37,-1,-1,1
1724,18,-1,-1,1
1725,35,-1,-1,1
1726,67,-1,-1,1
1727,130,-1,-1,1
1728,203,-1,-1,1
1729,172,-1,-1,1
1730,122,-1,-1,1
1731,78,-1,-1,1
1732,58,-1,-1,1
1733,18,-1,-1,1
1734,8,-1,-1,1
1735,27,-1,-1,1
1736,57,-1,-1,1
1737,117,-1,-1,1
1738,135,-1,-1,1
1739,185,-1,-1,1
1740,168,-1,-1,1
1741,122,-1,-1,1
1742,67,-1,-1,1
1743,33,-1,-1,1
1744,27,-1,-1,1
1745,8,-1,-1,1
1746,18,-1,-1,1
1747,37,-1,-1,1
1748,67,-1,-1,1
1749,100,-1,-1,1
1750,135,-1,-1,1
1751,139,-1,-1,1
1752,80,-1,-1,1
1753,80,-1,-1,1
1754,51,-1,-1,1
1755,20,-1,-1,1
1756,16,-1,-1,1
1757,17,-1,-1,1
1758,54,-1,-1,1
1759,79,-1,-1,1
1760,90,-1,-1,1
1761,105,-1,-1,1
1762,143,-1,-1,1
1763,102,-1,-1,1
1764,75,-1,-1,1
1765,61,-1,-1,1
1766,35,-1,-1,1
1767,19,-1,-1,1
1768,63,-1,-1,1
1769,116,-1,-1,1
1770,177,-1,-1,1
1771,168,-1,-1,1
1772,136,-1,-1,1
1773,111,-1,-1,1
1774,58,-1,-1,1
1775,51,-1,-1,1
1776,12,-1,-1,1
1777,33,-1,-1,1
1778,154,-1,-1,1
1779,257,-1,-1,1
1780,210,-1,-1,1
1781,141,-1,-1,1
1782,114,-1,-1,1
1783,64,-1,-1,1
1784,38,-1,-1,1
1785,17,-1,-1,1
1786,40,-1,-1,1
1787,138,-1,-1,1
1788,220,-1,-1,1
1789,218,-1,-1,1
1790,197,-1,-1,1
1791,150,-1,-1,1
1792,111,-1,-1,1
1793,100,-1,-1,1
1794,78,-1,-1,1
1795,68,-1,-1,1
1796,36,-1,-1,1
1797,27,-1,-1,1
1798,11,-1,-1,1
1799,7,-1,-1,1
1800,11,-1,-1,1
1801,24,-1,-1,1
1802,57,-1,-1,1
1803,75,-1,-1,1
1804,72,-1,-1,1
1805,79,-1,-1,1
1806,70,-1,-1,1
1807,47,-1,-1,1
1808,17,-1,-1,1
1809,14,-1,-1,1
1810,4,-1,-1,1
1811,0,-1,-1,1
1812,2,-1,-1,1
1813,8,-1,-1,1
1814,20,-1,-1,1
1815,23,-1,-1,1
1816,59,-1,-1,1
1817,76,-1,-1,1
1818,68,-1,-1,1
1819,53,9,213,1
1820,39,8,249,1
1821,24,6,224,1
1822,9,4,304,1
1823,6,4,353,1
1824,2,3,302,1
1825,11,5,194,1
1826,28,7,310,1
1827,60,10,320,1
1828,83,12,321,1
1829,109,13,301,1
1830,115,14,291,1
1831,117,14,268,1
1832,81,11,285,1
1833,44,9,277,1
1834,13,5,292,1
1835,20,6,260,1
1836,86,12,173,1
1837,193,18,166,1
1838,227,19,150,1
1839,169,17,201,1
1840,143,15,194,1
1841,106,13,248,1
1842,63,10,277,1
1843,40,8,311,1
1844,18,6,320,1
1845,25,7,294,1
1846,66,10,265,1
1847,103,13,247,1
1848,166,16,232,1
1849,208,18,234,1
1850,183,17,365,1
1851,126,14,365,1
1852,122,13,365,1
1853,103,12,366,1
1854,74,10,365,1
1855,39,8,365,1
1856,13,4,365,1
1857,8,3,366,1
1858,43,8,365,1
1859,104,12,365,1
1860,178,16,365,1
1861,182,17,366,1
1862,147,15,365,1
1863,112,13,365,1
1864,84,11,365,1
1865,89,12,366,1
1866,58,9,365,1
1867,31,7,365,1
1868,14,5,365,1
1869,63,9,366,1
1870,124,13,365,1
1871,232,17,365,1
1872,185,15,365,1
1873,169,15,366,1
1874,110,12,365,1
1875,75,10,365,1
1876,28,6,365,1
1877,19,5,366,1
1878,21,5,365,1
1879,6,3,365,1
1880,10,4,365,1
1881,54,8,366,1
1882,91,11,365,1
1883,99,11,365,1
1884,106,12,365,1
1885,106,12,366,1
1886,86,11,365,1
1887,42,7,365,1
1888,22,5,365,1
1889,11,4,366,1
1890,10,4,365,1
1891,12,4,365,1
1892,60,9,365,1
1893,122,12,366,1
1894,142,11,365,1
1895,130,10,365,1
1896,107,9,365,1
1897,69,7,366,1
1898,44,6,365,1
1899,44,6,365,1
1900,20,4,365,1
1901,16,4,365,1
1902,5,3,365,1
1903,9,3,365,1
1904,41,6,365,1
1905,70,8,366,1
1906,106,9,365,1
1907,90,9,365,1
1908,103,9,365,1
1909,81,8,366,1
1910,73,8,365,1
1911,31,5,365,1
1912,10,3,365,1
1913,6,3,366,1
1914,2,2,365,1
1915,16,4,365,1
1916,79,8,365,1
1917,95,9,366,1
1918,174,12,365,1
1919,135,10,365,1
1920,106,9,365,1
1921,63,7,366,1
1922,44,6,365,1
1923,24,5,365,1
1924,10,3,365,1
1925,28,5,366,1
1926,74,8,365,1
1927,107,9,365,1
1928,115,10,365,1
1929,130,10,366,1
1930,108,9,365,1
1931,59,7,365,1
1932,35,5,365,1
1933,19,4,366,1
1934,9,3,365,1
1935,15,4,365,1
1936,60,7,365,1
1937,133,10,366,1
1938,191,12,365,1
1939,183,12,365,1
1940,148,11,365,1
1941,113,10,366,1
1942,79,8,365,1
1943,51,6,365,1
1944,27,5,365,1
1945,16,4,366,1
1946,55,7,365,1
1947,154,11,365,1
1948,215,10,365,1
1949,193,9,366,1
1950,191,9,365,1
1951,119,7,365,1
1952,98,7,365,1
1953,45,5,366,1
1954,20,3,365,1
1955,7,2,365,1
1956,54,5,365,1
1957,201,10,366,1
1958,269,11,365,1
1959,262,11,365,1
1960,225,10,365,1
1961,159,8,366,1
1962,76,6,365,1
1963,53,5,365,1
1964,40,4,365,1
1965,15,3,366,1
1966,22,3,365,1
1967,67,5,365,1
1968,133,8,365,1
1969,150,8,366,1
1970,149,8,365,1
1971,148,8,365,1
1972,94,7,365,1
1973,98,7,366,1
1974,54,5,365,1
1975,49,5,365,1
1976,23,3,365,1
1977,18,3,366,1
1978,39,4,365,1
1979,131,8,365,1
1980,220,10,365,1
1981,219,10,366,1
1982,199,13,3049,1
1983,162,12,3436,1
1984,91,8,4216,1
1985,61,6,5103,1
1986,21,4,5543,1
1987,15,4,5934,1
1988,34,4,6396,1
1989,123,8,6556,1
1990,211,13,6932,1
1991,192,11,7108,1
1992,203,13,6932,1
1993,133,9,7845,1
1994,76,6,8010,1
1995,45,4,8524,1
1996,25,4,8429,1
1997,12,3,7614,1
1998,29,4,7294,1
1999,88,7,6353,1
2000,136,9,6413,1
2001,174,10,5953,1
2002,170,11,6558,1
2003,164,10,6588,1
2004,99,7,7087,1
2005,65,6,6882,1
2006,46,5,7084,1
2007,25,4,6370,1
2008,13,3,6841,1
2009,4,3,6644,1
2010,5,3,6465,1
2011,25,3,6328,1
2012,81,7,6077,1
2013,85,7,5753,1
2014,94,7,5347,1
2015,113,8,5273,1
2016,70,6,8903,1
2017,40,4,9940,1
2018,22,3,11444,1
2019,7,1,12611,1
2020,4,1,12884,1
